model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.10/aten::_convolution/Convolution,0,36,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,38.5,TRUE,0.928571429
alexnet,__module.features.10/aten::_convolution/Convolution,0,37,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,40.2,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,38,32,32,32,32,20,18,0,32,0.543,65536,23040,0.6484,68,39.9,TRUE,0.971428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,39,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,53.5,TRUE,0.985714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,40,32,32,32,32,14,18,0,32,0.5957,65536,16128,0.7539,62,40.3,TRUE,0.885714286
alexnet,__module.features.10/aten::_convolution/Convolution,0,41,9,32,32,9,19,12,0,32,0.7439,18432,4104,0.7773,38,16.7,TRUE,0.542857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,42,9,32,32,9,17,12,0,32,0.7622,18432,3672,0.8008,36,14.5,TRUE,0.514285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,43,9,32,32,9,12,12,1,16,0.8079,18432,2592,0.8594,31,15.6,TRUE,0.442857143
alexnet,__module.features.10/aten::_convolution/Convolution,0,44,9,32,32,9,17,12,0,32,0.7622,18432,3672,0.8008,36,15.7,TRUE,0.514285714
alexnet,__module.features.10/aten::_convolution/Convolution,0,45,9,32,32,9,21,12,0,32,0.7256,18432,4536,0.7539,40,70.3,TRUE,0.571428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,46,9,32,32,9,20,12,0,32,0.7348,18432,4320,0.7656,39,14.8,TRUE,0.557142857
alexnet,__module.features.10/aten::_convolution/Convolution,0,47,9,32,32,9,21,12,0,32,0.7256,18432,4536,0.7539,40,64.4,TRUE,0.571428571
alexnet,__module.features.10/aten::_convolution/Convolution,0,48,9,32,32,9,14,12,1,16,0.7896,18432,3024,0.8359,33,28,TRUE,0.471428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,1,32,32,32,31,23,18,0,32,0.5254,65536,25668,0.6083,70,41.6,TRUE,1
alexnet,__module.features.8/aten::_convolution/Convolution,1,2,32,32,32,31,19,18,0,32,0.5605,65536,21204,0.6765,66,41,TRUE,0.942857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,3,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,43.6,TRUE,0.914285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,4,32,32,32,31,13,18,0,32,0.6133,65536,14508,0.7786,60,85.4,TRUE,0.857142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,5,32,32,32,31,21,18,0,32,0.543,65536,23436,0.6424,68,90.9,TRUE,0.971428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,6,32,32,32,31,17,18,0,32,0.5781,65536,18972,0.7105,64,42.2,TRUE,0.914285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,7,32,32,32,31,18,18,0,32,0.5693,65536,20088,0.6935,65,112.2,TRUE,0.928571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,8,32,32,32,31,13,18,0,32,0.6133,65536,14508,0.7786,60,127,TRUE,0.857142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,9,32,32,32,24,23,18,0,32,0.5869,65536,19872,0.6968,63,76.6,TRUE,0.9
alexnet,__module.features.8/aten::_convolution/Convolution,1,10,32,32,32,24,19,18,0,32,0.6221,65536,16416,0.7495,59,43.8,TRUE,0.842857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,11,32,32,32,24,17,18,0,32,0.6396,65536,14688,0.7759,57,162.6,TRUE,0.814285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,12,32,32,32,24,13,18,0,32,0.6748,65536,11232,0.8286,53,40.9,TRUE,0.757142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,13,32,32,32,24,21,18,0,32,0.6045,65536,18144,0.7231,61,41.2,TRUE,0.871428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,14,32,32,32,24,17,18,0,32,0.6396,65536,14688,0.7759,57,41.2,TRUE,0.814285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,15,32,32,32,24,18,18,0,32,0.6309,65536,15552,0.7627,58,78,TRUE,0.828571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,16,32,32,32,24,13,18,0,32,0.6748,65536,11232,0.8286,53,40.6,TRUE,0.757142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,17,32,32,32,24,23,18,0,32,0.5869,65536,19872,0.6968,63,159.9,TRUE,0.9
alexnet,__module.features.8/aten::_convolution/Convolution,1,18,32,32,32,24,19,18,0,32,0.6221,65536,16416,0.7495,59,38.7,TRUE,0.842857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,19,32,32,32,24,17,18,0,32,0.6396,65536,14688,0.7759,57,45.3,TRUE,0.814285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,20,32,32,32,24,13,18,0,32,0.6748,65536,11232,0.8286,53,50.3,TRUE,0.757142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,21,32,32,32,24,21,18,0,32,0.6045,65536,18144,0.7231,61,69.4,TRUE,0.871428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,22,32,32,32,24,17,18,0,32,0.6396,65536,14688,0.7759,57,47.8,TRUE,0.814285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,23,32,32,32,24,18,18,0,32,0.6309,65536,15552,0.7627,58,156.8,TRUE,0.828571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,24,32,32,32,24,13,18,0,32,0.6748,65536,11232,0.8286,53,177.6,TRUE,0.757142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,25,32,32,32,29,23,18,0,32,0.543,65536,24012,0.6336,68,75.7,TRUE,0.971428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,26,32,32,32,29,19,18,0,32,0.5781,65536,19836,0.6973,64,111.3,TRUE,0.914285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,27,32,32,32,29,17,18,0,32,0.5957,65536,17748,0.7292,62,115.1,TRUE,0.885714286
alexnet,__module.features.8/aten::_convolution/Convolution,1,28,32,32,32,29,13,18,0,32,0.6309,65536,13572,0.7929,58,102.6,TRUE,0.828571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,29,32,32,32,29,21,18,0,32,0.5605,65536,21924,0.6655,66,50.3,TRUE,0.942857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,30,32,32,32,29,17,18,0,32,0.5957,65536,17748,0.7292,62,49.6,TRUE,0.885714286
alexnet,__module.features.8/aten::_convolution/Convolution,1,31,32,32,32,29,18,18,0,32,0.5869,65536,18792,0.7133,63,48.9,TRUE,0.9
alexnet,__module.features.8/aten::_convolution/Convolution,1,32,32,32,32,29,13,18,0,32,0.6309,65536,13572,0.7929,58,60.2,TRUE,0.828571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,33,32,32,32,32,23,18,0,32,0.5166,65536,26496,0.5957,71,70.1,TRUE,1.014285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,34,32,32,32,32,19,18,0,32,0.5518,65536,21888,0.666,67,41.2,TRUE,0.957142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,35,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,139.7,TRUE,0.928571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,36,32,32,32,32,13,18,0,32,0.6045,65536,14976,0.7715,61,113.2,TRUE,0.871428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,37,32,32,32,32,21,18,0,32,0.5342,65536,24192,0.6309,69,45.9,TRUE,0.985714286
alexnet,__module.features.8/aten::_convolution/Convolution,1,38,32,32,32,32,17,18,0,32,0.5693,65536,19584,0.7012,65,50.1,TRUE,0.928571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,39,32,32,32,32,18,18,0,32,0.5605,65536,20736,0.6836,66,47.7,TRUE,0.942857143
alexnet,__module.features.8/aten::_convolution/Convolution,1,40,32,32,32,32,13,18,0,32,0.6045,65536,14976,0.7715,61,50.1,TRUE,0.871428571
